Query	QueryFrequency	QueryTokens	user
How does a wolf catch its prey	1	['How', 'does', 'a', 'wolf', 'catch', 'its', 'prey']	50
what is love	1	['what', 'is', 'love']	50
Star Wars	1	['Star', 'Wars']	51
When will be a full moon this year	1	['When', 'will', 'be', 'a', 'full', 'moon', 'this', 'year']	51
Caculator	1	['Caculator']	51
Assassin's Creed	1	"['Assassin', ""'s"", 'Creed']"	52
Who plays the good terminater in Terminater two	1	['Who', 'plays', 'the', 'good', 'terminater', 'in', 'Terminater', 'two']	52
Information about tigers	1	['Information', 'about', 'tigers']	52
When is the new Finding Dory coming out	1	['When', 'is', 'the', 'new', 'Finding', 'Dory', 'coming', 'out']	53
how old is Han Solo in the new star wars movie	1	['how', 'old', 'is', 'Han', 'Solo', 'in', 'the', 'new', 'star', 'wars', 'movie']	53
how many Star wars movies have Han solo in them?	1	['how', 'many', 'Star', 'wars', 'movies', 'have', 'Han', 'solo', 'in', 'them', '?']	53
How many cheetahs are in the world?	1	['How', 'many', 'cheetahs', 'are', 'in', 'the', 'world', '?']	54
"What son has ""clapalong if you feel"" in it?"	1	"['What', 'son', 'has', '``', 'clapalong', 'if', 'you', 'feel', ""''"", 'in', 'it', '?']"	54
Order kungfu panda	1	['Order', 'kungfu', 'panda']	54
How many Star Wars movies will be made?	1	['How', 'many', 'Star', 'Wars', 'movies', 'will', 'be', 'made', '?']	55
How do they make the chewey voice starwars	1	['How', 'do', 'they', 'make', 'the', 'chewey', 'voice', 'starwars']	55
monkey info	1	['monkey', 'info']	55
mincraft songs	1	['mincraft', 'songs']	56
star wars ep. 5	1	['star', 'wars', 'ep', '.', '5']	56
How old is the wookie	1	['How', 'old', 'is', 'the', 'wookie']	56
mamoth facts	1	['mamoth', 'facts']	57
How old is TinkleBell	1	['How', 'old', 'is', 'TinkleBell']	57
What is the movie called with a Doll named Anebelle?	1	['What', 'is', 'the', 'movie', 'called', 'with', 'a', 'Doll', 'named', 'Anebelle', '?']	57
When is finding Dory coming out?	1	['When', 'is', 'finding', 'Dory', 'coming', 'out', '?']	58
How much are the Justin beiber tickets	1	['How', 'much', 'are', 'the', 'Justin', 'beiber', 'tickets']	58
Online calculator for math	1	['Online', 'calculator', 'for', 'math']	58
What is the color of a leopard	1	['What', 'is', 'the', 'color', 'of', 'a', 'leopard']	59
Who's lukes mom?	1	"['Who', ""'s"", 'lukes', 'mom', '?']"	59
how old can dogs grow to be	1	['how', 'old', 'can', 'dogs', 'grow', 'to', 'be']	59
starwars episode the force returns	1	['starwars', 'episode', 'the', 'force', 'returns']	60
when does far cry primal come out for xbox360	1	['when', 'does', 'far', 'cry', 'primal', 'come', 'out', 'for', 'xbox360']	60
How old DJ is in Fuller House	1	['How', 'old', 'DJ', 'is', 'in', 'Fuller', 'House']	60
Why are Polar bears white	1	['Why', 'are', 'Polar', 'bears', 'white']	61
Anibelle	1	['Anibelle']	61
When will they make more episodes of Fuller House	1	['When', 'will', 'they', 'make', 'more', 'episodes', 'of', 'Fuller', 'House']	61
youtube	4	['youtube']	62
Who plays Kylo Ren from StarWars?	1	['Who', 'plays', 'Kylo', 'Ren', 'from', 'StarWars', '?']	62
What are coll fact about a horse?	1	['What', 'are', 'coll', 'fact', 'about', 'a', 'horse', '?']	62
"What songs has a name with the lyrics of ""You use to call my on my self phone"""	1	"['What', 'songs', 'has', 'a', 'name', 'with', 'the', 'lyrics', 'of', '``', 'You', 'use', 'to', 'call', 'my', 'on', 'my', 'self', 'phone', ""''""]"	63
Star Wars Ep. 7	1	['Star', 'Wars', 'Ep', '.', '7']	63
How do Feathre's grow	1	"['How', 'do', 'Feathre', ""'s"", 'grow']"	63
How do lights work	1	['How', 'do', 'lights', 'work']	64
Images of dragons	1	['Images', 'of', 'dragons']	64
 how did paul Walker die	1	['how', 'did', 'paul', 'Walker', 'die']	64
Sloth	1	['Sloth']	65
Fast and Furiouse	1	['Fast', 'and', 'Furiouse']	65
How old Star Wars is	1	['How', 'old', 'Star', 'Wars', 'is']	65
Star wars	2	['Star', 'wars']	66
How old is Johny enlgish?	1	['How', 'old', 'is', 'Johny', 'enlgish', '?']	66
facts on Sabertooth tigers	1	['facts', 'on', 'Sabertooth', 'tigers']	66
Johny english reborn movie	1	['Johny', 'english', 'reborn', 'movie']	67
new movies 2016	1	['new', 'movies', '2016']	67
games	3	['games']	67
how fast is flash	1	['how', 'fast', 'is', 'flash']	68
why are grizzly Bares Brown	1	['why', 'are', 'grizzly', 'Bares', 'Brown']	68
songs for 5th graders	1	['songs', 'for', '5th', 'graders']	68
Netflix	1	['Netflix']	69
What do foxes eat	1	['What', 'do', 'foxes', 'eat']	69
picts of dragons	1	['picts', 'of', 'dragons']	69
The Incredibles	1	['The', 'Incredibles']	70
who voiced Mr.Incredible	1	['who', 'voiced', 'Mr.Incredible']	70
how long are giraffes necks	1	['how', 'long', 'are', 'giraffes', 'necks']	70
the Incredibles	1	['the', 'Incredibles']	71
facts about Ufos	1	['facts', 'about', 'Ufos']	71
five night at freddys	1	['five', 'night', 'at', 'freddys']	71
who played Gorden	1	['who', 'played', 'Gorden']	72
facts about lizards	1	['facts', 'about', 'lizards']	72
Who plays Kylo Ren in the new Star wars	1	['Who', 'plays', 'Kylo', 'Ren', 'in', 'the', 'new', 'Star', 'wars']	72
Facts about geckos	1	['Facts', 'about', 'geckos']	73
Star Wars the Force Awakens	1	['Star', 'Wars', 'the', 'Force', 'Awakens']	73
When is the new Guardians of the Galaxy going to come out	1	['When', 'is', 'the', 'new', 'Guardians', 'of', 'the', 'Galaxy', 'going', 'to', 'come', 'out']	73
Computer games	1	['Computer', 'games']	74
Sumdog Math games	1	['Sumdog', 'Math', 'games']	74
Who plays the villain in Ant-man	1	['Who', 'plays', 'the', 'villain', 'in', 'Ant-man']	74
How long is a lions Lifespan?	1	['How', 'long', 'is', 'a', 'lions', 'Lifespan', '?']	75
Ant-man movie	1	['Ant-man', 'movie']	75
When is Batman v. Superman coming out?	1	['When', 'is', 'Batman', 'v.', 'Superman', 'coming', 'out', '?']	75
Youtube	1	['Youtube']	76
math games	1	['math', 'games']	76
How long can a polr bear swin under water?	1	['How', 'long', 'can', 'a', 'polr', 'bear', 'swin', 'under', 'water', '?']	76
When will the movie Zootopia come out	1	['When', 'will', 'the', 'movie', 'Zootopia', 'come', 'out']	77
Pointless website	1	['Pointless', 'website']	77
world war II pictures	1	['world', 'war', 'II', 'pictures']	77
Who plays the rabbit from the movie H.O.P.?	1	['Who', 'plays', 'the', 'rabbit', 'from', 'the', 'movie', 'H.O.P', '.', '?']	78
name of my Favourite movie	1	['name', 'of', 'my', 'Favourite', 'movie']	78
When is the new movie Race about Jessie Owens coming out on DVD	1	['When', 'is', 'the', 'new', 'movie', 'Race', 'about', 'Jessie', 'Owens', 'coming', 'out', 'on', 'DVD']	78
staggering bautey (a game)	1	['staggering', 'bautey', '(', 'a', 'game', ')']	79
Who plays in the new goose bumps?	1	['Who', 'plays', 'in', 'the', 'new', 'goose', 'bumps', '?']	79
How fast can a Cheeta run?	1	['How', 'fast', 'can', 'a', 'Cheeta', 'run', '?']	79
What is the new son by son and son?	1	['What', 'is', 'the', 'new', 'son', 'by', 'son', 'and', 'son', '?']	80
Fuller House Full episodes	1	['Fuller', 'House', 'Full', 'episodes']	80
When is Fuller House coming out?	1	['When', 'is', 'Fuller', 'House', 'coming', 'out', '?']	80
How to multiply a fraction by a fraction?	1	['How', 'to', 'multiply', 'a', 'fraction', 'by', 'a', 'fraction', '?']	81
Krois? How dose dame not die in the last part	1	['Krois', '?', 'How', 'dose', 'dame', 'not', 'die', 'in', 'the', 'last', 'part']	81
 How dose the snake five the venom	1	['How', 'dose', 'the', 'snake', 'five', 'the', 'venom']	81
The lirycs of the song	1	['The', 'lirycs', 'of', 'the', 'song']	82
the tittle of the movie	1	['the', 'tittle', 'of', 'the', 'movie']	82
about April something	1	['about', 'April', 'something']	82
school games	1	['school', 'games']	83
cool cars	1	['cool', 'cars']	83
who plays as the man of steel	1	['who', 'plays', 'as', 'the', 'man', 'of', 'steel']	83
when will the new movie is coming out	1	['when', 'will', 'the', 'new', 'movie', 'is', 'coming', 'out']	84
my favourite movie	1	['my', 'favourite', 'movie']	84
who sang a song called watch me whip nae	1	['who', 'sang', 'a', 'song', 'called', 'watch', 'me', 'whip', 'nae']	84
Batman vs superman 	1	['Batman', 'vs', 'superman']	85
the minions movie	1	['the', 'minions', 'movie']	85
information of words	1	['information', 'of', 'words']	85
sports and news	1	['sports', 'and', 'news']	86
Who is the voice for Dory in Finding Nemo?	1	['Who', 'is', 'the', 'voice', 'for', 'Dory', 'in', 'Finding', 'Nemo', '?']	86
How long can a shark live for	1	['How', 'long', 'can', 'a', 'shark', 'live', 'for']	86
Mama ohohoh song	1	['Mama', 'ohohoh', 'song']	87
Starwars	1	['Starwars']	87
When is the next StarWars movie coming out	1	['When', 'is', 'the', 'next', 'StarWars', 'movie', 'coming', 'out']	87
MIG games	1	['MIG', 'games']	88
google docs	1	['google', 'docs']	88
How old are the kids now in Stand By Me?	1	['How', 'old', 'are', 'the', 'kids', 'now', 'in', 'Stand', 'By', 'Me', '?']	88
What sound does a girrafe make?	1	['What', 'sound', 'does', 'a', 'girrafe', 'make', '?']	89
Hello it's me	1	"['Hello', 'it', ""'s"", 'me']"	89
movie Zootopia	1	['movie', 'Zootopia']	89
How old is google?	1	['How', 'old', 'is', 'google', '?']	90
facts information	1	['facts', 'information']	90
youtube	4	['youtube']	90
How old is Ray from StarWars?	1	['How', 'old', 'is', 'Ray', 'from', 'StarWars', '?']	91
How many breeds of Dogs are there?	1	['How', 'many', 'breeds', 'of', 'Dogs', 'are', 'there', '?']	91
Songs by Adele	1	['Songs', 'by', 'Adele']	91
Spirited away	1	['Spirited', 'away']	92
When is Zootopia coming out?	1	['When', 'is', 'Zootopia', 'coming', 'out', '?']	92
ideas for poems	1	['ideas', 'for', 'poems']	92
games to play when you board	1	['games', 'to', 'play', 'when', 'you', 'board']	93
Billbow - Bagan in the Hobbit	1	['Billbow', '-', 'Bagan', 'in', 'the', 'Hobbit']	93
A whole with a horn	1	['A', 'whole', 'with', 'a', 'horn']	93
What songs does Jeff play?	1	['What', 'songs', 'does', 'Jeff', 'play', '?']	94
"What is the movie ""The Secret life of pets"""	1	"['What', 'is', 'the', 'movie', '``', 'The', 'Secret', 'life', 'of', 'pets', ""''""]"	94
Who plays Nemo in finding Nemo?	1	['Who', 'plays', 'Nemo', 'in', 'finding', 'Nemo', '?']	94
How plays the Rafe on teenager mutan	1	['How', 'plays', 'the', 'Rafe', 'on', 'teenager', 'mutan']	95
Star wars	2	['Star', 'wars']	95
calculator	1	['calculator']	95
Who voices Mabel in Gravity Falls?	1	['Who', 'voices', 'Mabel', 'in', 'Gravity', 'Falls', '?']	96
The Alpaca	1	['The', 'Alpaca']	96
Math games	1	['Math', 'games']	96
Dan and Phil	1	['Dan', 'and', 'Phil']	97
Who plays Kylo Ren in the new Star wars movie?	1	['Who', 'plays', 'Kylo', 'Ren', 'in', 'the', 'new', 'Star', 'wars', 'movie', '?']	97
How long can a wolf live?	1	['How', 'long', 'can', 'a', 'wolf', 'live', '?']	97
What is the ame of the song with the lyrics ? Now watch me whip watch me nay nay!	1	['What', 'is', 'the', 'ame', 'of', 'the', 'song', 'with', 'the', 'lyrics', '?', 'Now', 'watch', 'me', 'whip', 'watch', 'me', 'nay', 'nay', '!']	98
start wars	1	['start', 'wars']	98
When does summer break start?	1	['When', 'does', 'summer', 'break', 'start', '?']	98
What was the best video game at 2015?	1	['What', 'was', 'the', 'best', 'video', 'game', 'at', '2015', '?']	99
What is the capitol of New York?	1	['What', 'is', 'the', 'capitol', 'of', 'New', 'York', '?']	99
Who plays the bad guy in Star Wars the Horde awakends?	1	['Who', 'plays', 'the', 'bad', 'guy', 'in', 'Star', 'Wars', 'the', 'Horde', 'awakends', '?']	99
What is a fox's favorite kind of food?	1	"['What', 'is', 'a', 'fox', ""'s"", 'favorite', 'kind', 'of', 'food', '?']"	100
"Show me the movie called ""The Martian"""	1	"['Show', 'me', 'the', 'movie', 'called', '``', 'The', 'Martian', ""''""]"	100
What is the biggest rock found on Mars?	1	['What', 'is', 'the', 'biggest', 'rock', 'found', 'on', 'Mars', '?']	100
What is the top game this week?	1	['What', 'is', 'the', 'top', 'game', 'this', 'week', '?']	101
NBA Allstar	1	['NBA', 'Allstar']	101
NOKIA N71	1	['NOKIA', 'N71']	101
NSAMeeting.com	1	['NSAMeeting.com']	102
NY Giants	1	['NY', 'Giants']	102
NY LOTTERY	1	['NY', 'LOTTERY']	102
Nanny Express	1	['Nanny', 'Express']	103
Navigation to the webpage was canceled What you can try:	1	['Navigation', 'to', 'the', 'webpage', 'was', 'canceled', 'What', 'you', 'can', 'try', ':']	103
New England Coffee	1	['New', 'England', 'Coffee']	103
New I-9 Form	1	['New', 'I-9', 'Form']	104
Nijmegen	1	['Nijmegen']	104
Nyheter dygnet runt	1	['Nyheter', 'dygnet', 'runt']	104
OBAMA INAUGURATION BALL	1	['OBAMA', 'INAUGURATION', 'BALL']	105
PL	1	['PL']	105
ONLINE CALENDAR	1	['ONLINE', 'CALENDAR']	105
Obama bailout plan	1	['Obama', 'bailout', 'plan']	106
Ocean Pointe Suites at Key Largo	1	['Ocean', 'Pointe', 'Suites', 'at', 'Key', 'Largo']	106
Oceanic Time Warner	1	['Oceanic', 'Time', 'Warner']	106
Oklahoma Unclaimed Property	1	['Oklahoma', 'Unclaimed', 'Property']	107
One More Level.com	1	['One', 'More', 'Level.com']	107
PHIMHONGKONG	1	['PHIMHONGKONG']	107
PINK PANTHER 2	1	['PINK', 'PANTHER', '2']	108
PINOYGUNS	1	['PINOYGUNS']	108
POKERSTAR	1	['POKERSTAR']	108
POLYSTYRENE	1	['POLYSTYRENE']	109
PORTRAIT INOVATIONS	1	['PORTRAIT', 'INOVATIONS']	109
PPMD	1	['PPMD']	109
PRINCIPAL BUSINESS CODES	1	['PRINCIPAL', 'BUSINESS', 'CODES']	110
PUP.EDU.PH	1	['PUP.EDU.PH']	110
Paige	1	['Paige']	110
Palace	1	['Palace']	111
Panic! at the disco	1	['Panic', '!', 'at', 'the', 'disco']	111
Peak District National Park	1	['Peak', 'District', 'National', 'Park']	111
Pearl Jam lyrics	1	['Pearl', 'Jam', 'lyrics']	112
Penney Life Insurance	1	['Penney', 'Life', 'Insurance']	112
Pentecostal Bible Studies	1	['Pentecostal', 'Bible', 'Studies']	112
Pitbull	1	['Pitbull']	113
Post Office Nearest	1	['Post', 'Office', 'Nearest']	113
Price of Gold	1	['Price', 'of', 'Gold']	113
Prilosec OTC	1	['Prilosec', 'OTC']	114
ProForm Quick Burn SpaceSaver Elliptical	1	['ProForm', 'Quick', 'Burn', 'SpaceSaver', 'Elliptical']	114
Project Risk Management	1	['Project', 'Risk', 'Management']	114
Suncellular	1	['Suncellular']	115
Sylvia Marie Likens	1	['Sylvia', 'Marie', 'Likens']	115
T-max	1	['T-max']	115
TUBE9	1	['TUBE9']	116
Tactics Arena Online	1	['Tactics', 'Arena', 'Online']	116
Tahiti	1	['Tahiti']	116
Tanay Rodney Jackson	1	['Tanay', 'Rodney', 'Jackson']	117
Tanning Lotions	1	['Tanning', 'Lotions']	117
airline passenger forced	1	['airline', 'passenger', 'forced']	117
Testosteron	1	['Testosteron']	118
The Americans with Disabilities Act	1	['The', 'Americans', 'with', 'Disabilities', 'Act']	118
The Book of Revelation	1	['The', 'Book', 'of', 'Revelation']	118
The Liver	1	['The', 'Liver']	119
The Perfect Dog	1	['The', 'Perfect', 'Dog']	119
The Turtles	1	['The', 'Turtles']	119
This program cannot display the webpage	1	['This', 'program', 'can', 'not', 'display', 'the', 'webpage']	120
Times Publishing	1	['Times', 'Publishing']	120
Titan insurance	1	['Titan', 'insurance']	120
Tougaloo College	1	['Tougaloo', 'College']	121
Trick Flow Specialties	1	['Trick', 'Flow', 'Specialties']	121
Troy Sports Center	1	['Troy', 'Sports', 'Center']	121
U of A	1	['U', 'of', 'A']	122
ULTRA FOOD	1	['ULTRA', 'FOOD']	122
USC housing	1	['USC', 'housing']	122
USFSA	1	['USFSA']	123
UTG MK96	1	['UTG', 'MK96']	123
University of California San Francisco	1	['University', 'of', 'California', 'San', 'Francisco']	123
University of Texas at Austin	1	['University', 'of', 'Texas', 'at', 'Austin']	124
University of York	1	['University', 'of', 'York']	124
VALOIS	1	['VALOIS']	124
VANTAGE	1	['VANTAGE']	125
alcohol and fibromyalgia	1	['alcohol', 'and', 'fibromyalgia']	125
alligenceairway	1	['alligenceairway']	125
alltherage	1	['alltherage']	126
aloha sol	1	['aloha', 'sol']	126
alpha bank	1	['alpha', 'bank']	126
alpha source	1	['alpha', 'source']	127
alrojovivo noticias	1	['alrojovivo', 'noticias']	127
altered beast forum	1	['altered', 'beast', 'forum']	127
amansblogsite	1	['amansblogsite']	128
amarillo sour drink recipe	1	['amarillo', 'sour', 'drink', 'recipe']	128
amateur athletic union	1	['amateur', 'athletic', 'union']	128
amateur crossdressers	1	['amateur', 'crossdressers']	129
amateur gang bang	1	['amateur', 'gang', 'bang']	129
amaz0n	1	['amaz0n']	129
ambassador east	1	['ambassador', 'east']	130
ambulance sound effects	1	['ambulance', 'sound', 'effects']	130
amc tyler 16	1	['amc', 'tyler', '16']	130
amc.com/	1	['amc.com/']	131
amendment 23	1	['amendment', '23']	131
