"Query",,,,,,,
"How do they make the chewey voice starwars	1",,,,,,,
"monkey info	1",,,,,,,
"mincraft songs	1",,,,,,,
"star wars ep. 5	1",,,,,,,
"How old is the wookie	1",,,,,,,
"mamoth facts	1",,,,,,,
"How old is TinkleBell	1",,,,,,,
"What is the movie called with a Doll named Anebelle?	1",,,,,,,
"When is finding Dory coming out?	1",,,,,,,
"How much are the Justin beiber tickets	1",,,,,,,
"Online calculator for math	1",,,,,,,
"What is the color of a leopard	1",,,,,,,
"Who's lukes mom?	1",,,,,,,
"how old can dogs grow to be	1",,,,,,,
"starwars episode the force returns	1",,,,,,,
"when does far cry primal come out for xbox360	1",,,,,,,
"How old DJ is in Fuller House	1",,,,,,,
"Why are Polar bears white	1",,,,,,,
"Anibelle	1",,,,,,,
"When will they make more episodes of Fuller House	1",,,,,,,
"youtube	1",,,,,,,
"Who plays Kylo Ren from StarWars?	1",,,,,,,
"What are coll fact about a horse?	1",,,,,,,
"What songs has a name with the lyrics of ""You use to call my on my self phone""	1",,,,,,,
"Star Wars Ep. 7	1",,,,,,,
"How do Feathre's grow	1",,,,,,,
"How do lights work	1",,,,,,,
"Images of dragons	1",,,,,,,
" how did paul Walker die	1",,,,,,
"Sloth	1",,,,,,,
"Fast and Furiouse	1",,,,,,,
"How old Star Wars is	1",,,,,,,
"Star wars	1",,,,,,,
"How old is Johny enlgish?	1",,,,,,,
"facts on Sabertooth tigers	1",,,,,,,
"Johny english reborn movie	1",,,,,,,
"new movies 2016	1",,,,,,,
"games	1",,,,,,,
"how fast is flash	1",,,,,,,
"why are grizzly Bares Brown	1",,,,,,,
"songs for 5th graders	1",,,,,,,
"Netflix	1",,,,,,,
"What do foxes eat	1",,,,,,,
"picts of dragons	1",,,,,,,
"The Incredibles	1",,,,,,,
"who voiced Mr.Incredible	1",,,,,,,
"how long are giraffes necks	1",,,,,,,
"the Incredibles	1",,,,,,,
"facts about Ufos	1",,,,,,,
"five night at freddys	1",,,,,,,
"who played Gorden	1",,,,,,,
"facts about lizards	1",,,,,,,
"Who plays Kylo Ren in the new Star wars	1",,,,,,,
"Facts about geckos	1",,,,,,,
"Star Wars the Force Awakens	1",,,,,,,
"When is the new Guardians of the Galaxy going to come out	1",,,,,,,
"Computer games	1",,,,,,,
"Sumdog Math games	1",,,,,,,
"Who plays the villain in Ant-man	1",,,,,,,
"How long is a lions Lifespan?	1",,,,,,,
"Ant-man movie	1",,,,,,,
"When is Batman v. Superman coming out?	1",,,,,,,
"Youtube	1",,,,,,,
"math games	1",,,,,,,
"How long can a polr bear swin under water?	1",,,,,,,
"When will the movie Zootopia come out	1",,,,,,,
"Pointless website	1",,,,,,,
"world war II pictures	1",,,,,,,
"Who plays the rabbit from the movie H.O.P.?	1",,,,,,,
"name of my Favourite movie	1",,,,,,,
"When is the new movie Race about Jessie Owens coming out on DVD	1",,,,,,,
"staggering bautey (a game)	1",,,,,,,
"Who plays in the new goose bumps?	1",,,,,,,
"How fast can a Cheeta run?	1",,,,,,,
"What is the new son by son and son?	1",,,,,,,
"Fuller House Full episodes	1",,,,,,,
"When is Fuller House coming out?	1",,,,,,,
"How to multiply a fraction by a fraction?	1",,,,,,,
"Krois? How dose dame not die in the last part	1",,,,,,,
" How dose the snake five the venom	1",,,,,,
"The lirycs of the song	1",,,,,,,
"the tittle of the movie	1",,,,,,,
"about April something	1",,,,,,,
"school games	1",,,,,,,
"cool cars	1",,,,,,,
"who plays as the man of steel	1",,,,,,,
"when will the new movie is coming out	1",,,,,,,
"my favourite movie	1",,,,,,,
"who sang a song called watch me whip nae	1",,,,,,,
"Batman vs superman 	1",,,,,,,
"the minions movie	1",,,,,,,
"information of words	1",,,,,,,
"sports and news	1",,,,,,,
"Who is the voice for Dory in Finding Nemo?	1",,,,,,,
"How long can a shark live for	1",,,,,,,
"Mama ohohoh song	1",,,,,,,
"Starwars	1",,,,,,,
"When is the next StarWars movie coming out	1",,,,,,,
"MIG games	1",,,,,,,
"google docs	1",,,,,,,
"How old are the kids now in Stand By Me?	1",,,,,,,
"What sound does a girrafe make?	1",,,,,,,
"Hello it's me	1",,,,,,,
"movie Zootopia	1",,,,,,,
"How old is google?	1",,,,,,,
"facts information	1",,,,,,,
"youtube	1",,,,,,,
"How old is Ray from StarWars?	1",,,,,,,
"How many breeds of Dogs are there?	1",,,,,,,
"Songs by Adele	1",,,,,,,
"Spirited away	1",,,,,,,
"When is Zootopia coming out?	1",,,,,,,
"ideas for poems	1",,,,,,,
"games to play when you board	1",,,,,,,
"Billbow - Bagan in the Hobbit	1",,,,,,,
"A whole with a horn	1",,,,,,,
"What songs does Jeff play?	1",,,,,,,
"What is the movie ""The Secret life of pets""	1",,,,,,,
"Who plays Nemo in finding Nemo?	1",,,,,,,
"How plays the Rafe on teenager mutan	1",,,,,,,
"Star wars	1",,,,,,,
"calculator	1",,,,,,,
"Who voices Mabel in Gravity Falls?	1",,,,,,,
"The Alpaca	1",,,,,,,
"Math games	1",,,,,,,
"Dan and Phil	1",,,,,,,
"Who plays Kylo Ren in the new Star wars movie?	1",,,,,,,
"How long can a wolf live?	1",,,,,,,
"What is the ame of the song with the lyrics ? Now watch me whip watch me nay nay!	1",,,,,,,
"start wars	1",,,,,,,
"When does summer break start?	1",,,,,,,
"What was the best video game at 2015?	1",,,,,,,
"What is the capitol of New York?	1",,,,,,,
"Who plays the bad guy in Star Wars the Horde awakends?	1",,,,,,,
"What is a fox's favorite kind of food?	1",,,,,,,
"Show me the movie called ""The Martian""	1",,,,,,,
"What is the biggest rock found on Mars?	1",,,,,,,
"What is the top game this week?	1",,,,,,,
"NBA Allstar	0",,,,,,,
"NOKIA N71	0",,,,,,,
"NSAMeeting.com	0",,,,,,,
"NY Giants	0",,,,,,,
"NY LOTTERY	0",,,,,,,
"Nanny Express	0",,,,,,,
"Navigation to the webpage was canceled What you can try:	0",,,,,,,
"New England Coffee	0",,,,,,,
"New I-9 Form	0",,,,,,,
"Nijmegen	0",,,,,,,
"Nyheter dygnet runt	0",,,,,,,
"OBAMA INAUGURATION BALL	0",,,,,,,
"PL	0",,,,,,
"ONLINE CALENDAR	0",,,,,,,
"Obama bailout plan	0",,,,,,,
"Ocean Pointe Suites at Key Largo	0",,,,,,,
"Oceanic Time Warner	0",,,,,,,
"Oklahoma Unclaimed Property	0",,,,,,,
"One More Level.com	0",,,,,,,
"PHIMHONGKONG	0",,,,,,,
"PINK PANTHER 2	0",,,,,,,
"PINOYGUNS	0",,,,,,,
"POKERSTAR	0",,,,,,,
"POLYSTYRENE	0",,,,,,,
"PORTRAIT INOVATIONS	0",,,,,,,
"PPMD	0",,,,,,,
"PRINCIPAL BUSINESS CODES	0",,,,,,,
"PUP.EDU.PH	0",,,,,,,
"Paige	0",,,,,,,
"Palace	0",,,,,,,
"Panic! at the disco	0",,,,,,,
"Peak District National Park	0",,,,,,,
"Pearl Jam lyrics	0",,,,,,,
"Penney Life Insurance	0",,,,,,,
"Pentecostal Bible Studies	0",,,,,,,
"Pitbull	0",,,,,,,
"Post Office Nearest	0",,,,,,,
"Price of Gold	0",,,,,,,
"Prilosec OTC	0",,,,,,,
"ProForm Quick Burn SpaceSaver Elliptical	0",,,,,,,
"Project Risk Management	0",,,,,,,
"Suncellular	0",,,,,,,
"Sylvia Marie Likens	0",,,,,,,
"T-max	0",,,,,,,
"TUBE9	0",,,,,,,
"Tactics Arena Online	0",,,,,,,
"Tahiti	0",,,,,,,
"Tanay Rodney Jackson	0",,,,,,,
"Tanning Lotions	0",,,,,,,
"airline passenger forced	0",,,,,,,
"Testosteron	0",,,,,,,
"The Americans with Disabilities Act	0",,,,,,,
"The Book of Revelation	0",,,,,,,
"The Liver	0",,,,,,,
"The Perfect Dog	0",,,,,,,
"The Turtles	0",,,,,,,
"This program cannot display the webpage	0",,,,,,,
"Times Publishing	0",,,,,,,
"Titan insurance	0",,,,,,,
"Tougaloo College	0",,,,,,,
"Trick Flow Specialties	0",,,,,,,
"Troy Sports Center	0",,,,,,,
"U of A	0",,,,,,,
"ULTRA FOOD	0",,,,,,,
"USC housing	0",,,,,,,
"USFSA	0",,,,,,,
"UTG MK96	0",,,,,,,
"University of California San Francisco	0",,,,,,,
"University of Texas at Austin	0",,,,,,,
"University of York	0",,,,,,,
"VALOIS	0",,,,,,,
"VANTAGE	0",,,,,,,
"alcohol and fibromyalgia	0",,,,,,,
"alligenceairway	0",,,,,,,
"alltherage	0",,,,,,,
"aloha sol	0",,,,,,,
"alpha bank	0",,,,,,,
"alpha source	0",,,,,,,
"alrojovivo noticias	0",,,,,,,
"altered beast forum	0",,,,,,,
"amansblogsite	0",,,,,,,
"amarillo sour drink recipe	0",,,,,,,
"amateur athletic union	0",,,,,,,
"amateur crossdressers	0",,,,,,,
"amateur gang bang	0",,,,,,,
"amaz0n	0",,,,,,,
"ambassador east	0",,,,,,,
"ambulance sound effects	0",,,,,,,
"amc tyler 16	0",,,,,,,
"amc.com/	0",,,,,,,
"amendment 23	0",,,,,,,
"amercare	0",,,,,,,
"american board of general dentistry	0",,,,,,,
"american egael outfitters	0",,,,,,,
"american embassy nairobi	0",,,,,,,
"american girl doll hair care	0",,,,,,,
"american history figures	0",,,,,,,
"best buy account	0",,,,,,,
"best colleges 2009	0",,,,,,,
"best crossword puzzle	0",,,,,,,
"best energy stocks	0",,,,,,,
"best gps deals	0",,,,,,,
"best love novels	0",,,,,,,
"best professional digital camera	0",,,,,,,
"best rc truck	0",,,,,,,
"best songs of the 80s and 90s	0",,,,,,,
"best video player	0",,,,,,,
"best walking shoes for babies	0",,,,,,,
"best western danville va	0",,,,,,,
"bestbuty	0",,,,,,,
"bestusedtrucks.com	0",,,,,,,
"bethany mennonite church	0",,,,,,,
"bethesda north hospital	0",,,,,,,
"betley	0",,,,,,,
"betsey johnson coats	0",,,,,,,
"betty bowers	0",,,,,,,
"bg pop folk	0",,,,,,,
"bgz pl	0",,,,,,,
"bhgtv	0",,,,,,,
"bianca's handcuff page	0",,,,,,,
"bibbero	0",,,,,,,
"bible doctrines	0",,,,,,,
"bible glossary	0",,,,,,,
"bible in a year	0",,,,,,,
"bible verses for strength	0",,,,,,,
"bibliotecas online	0",,,,,,,
"bietet unter anderem	0",,,,,,,
"chasecreditcardservices	0",,,,,,,
"chateau lemoyne new orleans	0",,,,,,,
"chattahoochee river park	0",,,,,,,
"cheap auto insurance online	0",,,,,,,
"cheap big johnson t-shirts	0",,,,,,,
"cheap dog crates	0",,,,,,,
"cheap fitness clothes	0",,,,,,,
"cheapmovies	0",,,,,,,
"cheat codes for gta vice city	0",,,,,,,
"cheat codes for sims 2 ps2	0",,,,,,,
"cheats for naruto ultimate ninja heroes	0",,,,,,,
"checkreoderexpress	0",,,,,,,
"csc events	0",,,,,,,
"ct state website	0",,,,,,,
"cuban flan recipe	0",,,,,,,
"cubs sweatshirts	0",,,,,,,
"cupoons	0",,,,,,,
"curises.com	0",,,,,,,
"currency exchange	0",,,,,,,
"current white house staff	0",,,,,,,
"curry college milton	0",,,,,,,
"curvy bodies	0",,,,,,,
"custom lowrider bikes	0",,,,,,,
"custom photo birth announcements	0",,,,,,,
"custom slipcovers	0",,,,,,,
"cutterbee	0",,,,,,,
"cvs coupon	0",,,,,,,
"cyberlink power dvd update	0",,,,,,,
"cynthia lummis	0",,,,,,,
"fanatico restaurant	0",,,,,,,
"fansnap	0",,,,,,,
"fantasy springs casino indio	0",,,,,,,
"fast food design	0",,,,,,,
"fast now	0",,,,,,,
"fat loss pills	0",,,,,,,
"fatal motorcycle accidents pictures	0",,,,,,,
"fco airport	0",,,,,,,
"federal bullets ammunition	0",,,,,,,
"federal correction institute	0",,,,,,,
"federal employee holidays	0",,,,,,,
"federal reserve history	0",,,,,,,
"fedricks of hollwood	0",,,,,,,
"feline health questions	0",,,,,,,
"fema.com	0",,,,,,,
"female celebrities with short hair	0",,,,,,,
"female porn	0",,,,,,,
"gemelli	0",,,,,,,
"gender history	0",,,,,,,
"geneva construction	0",,,,,,,
"george lopez daughter	0",,,,,,,
"georgia standards commission	0",,,,,,,
"georgia tag office license plate	0",,,,,,,
"germany road conditions	0",,,,,,,
"get off	0",,,,,,,
"gezond eten recepten	0",,,,,,,
"ghi hmo	0",,,,,,,
"ghost recon advanced warfighter walkthrough	0",,,,,,,
"ghs jobs	0",,,,,,,
"giants fan	0",,,,,,,
"giausd	0",,,,,,,
"gift ideas for her	0",,,,,,,
"gilroy hotels	0",,,,,,,
"giovanni prom dresses	0",,,,,,,
"girl bunkbeds	0",,,,,,,
"hershy pa	0",,,,,,,
"hidden agenda	0",,,,,,,
"hidrofor	0",,,,,,,
"hidrometeoroloski zavod srbije	0",,,,,,,
"high school speeches	0",,,,,,,
"highlightkids	0",,,,,,,
"highlights for brunettes	0",,,,,,,
"hillary duff	0",,,,,,,
"hillsong from the inside out chords	0",,,,,,,
"hilton promotional code	0",,,,,,,
"innovative educational media company that connects	0",,,,,,,
"insectors	0",,,,,,,
"inside.amcity.com	0",,,,,,,
"install new program	0",,,,,,,
"instant tax services	0",,,,,,,
"intellicast com	0",,,,,,
"intentional communication without	0",,,,,,,
"interactive buddy 2 game skins	0",,,,,,,
"interior journal	0",,,,,,,
"lalatx	0",,,,,,,
"land for sale in indiana	0",,,,,,,
"land line phone companies	0",,,,,,,
"land rover engines	0",,,,,,,
"langham place	0",,,,,,,
"largest spider	0",,,,,,,
"larry drew basketball	0",,,,,,,
"larryfitzgerald	0",,,,,,,
"leshawn merritt	0",,,,,,,
"leupold scope bases and rings	0",,,,,,,
"lewis county tennessee	0",,,,,,,
"lewis palmer	0",,,,,,,
"lexapro vs effexor	0",,,,,,,
"lexibook	0",,,,,,,
"lexmark fax solutions software	0",,,,,,,
"lexus of maplewood	0",,,,,,,
"ley federal del trabajo	0",,,,,,,
"lg 47lg50 review	0",,,,,,,
"lhcu.org	0",,,,,,,
"liberal vs conservative	0",,,,,,,
"lyrics chasing pavements adele	0",,,,,,,
"lyrics for bad girl	0",,,,,,,
"lyrics man in the mirror	0",,,,,,,
"lyrics of learning to fall	0",,,,,,,
"lyrics thank you for being a friend	0",,,,,,,
"lyrics to electric feel by mgmt	0",,,,,,,
"machine finders	0",,,,,,,
"mactan real estate	0",,,,,,,
"madagascar 3	0",,,,,,,
"madisonville state bank texas	0",,,,,,,
"maggiore car rental	0",,,,,,,
"magnolia clinic in houston	0",,,,,,,
"maynard cooper & gale p c	0",,,,,,,
"mayo clinic cabbage soup diet recipe	0",,,,,,,
"mbam	0",,,,,,,
"mbt fitness shoes	0",,,,,,,
"mcafee threat center	0",,,,,,,
"mcafeesecurity center	0",,,,,,,
"mcdonalds diet	0",,,,,,,
"mcgregor medical san antonio	0",,,,,,,
"mcs puerto rico san juan	0",,,,,,,
"negative predictive value	0",,,,,,,
"neil o'donnell stats	0",,,,,,,
"neil simon theatre	0",,,,,,,
"nemacolin resort	0",,,,,,,
"neopetsx	0",,,,,,,
"neoseeker action replay codes	0",,,,,,,
"oscar best picture list	0",,,,,,,
"outdoor shoes	0",,,,,,,
"outdooralabama.com	0",,,,,,,
"outlaws motorcycle clubs	0",,,,,,,
"outrage	0",,,,,,,
"outrigger maui el dorado	0",,,,,,,
"ov video	0",,,,,,,
"overeaters ananymous	0",,,,,,,
"pregancy questions	0",,,,,,,
"pregnancy preparation	0",,,,,,,
"pregnant black girls	0",,,,,,,
"pregnant websites	0",,,,,,,
"preissuchmaschine	0",,,,,,,
"premier card	0",,,,,,,
"ratatoue	0",,,,,,,
"rate my teachers.com	0",,,,,,,
"rate your space	0",,,,,,,
"ratemybeaver.com	0",,,,,,,
"rave motion pictures ridgmar 13 fort worth tx	0",,,,,,,
"raven symone myspace	0",,,,,,,
"raynauldsdisease	0",,,,,,,
"razboi intru cuvant	0",,,,,,,
"rca 2000	0",,,,,,,
"rchobbies.com	0",,,,,,,
"reading endorsement	0",,,,,,,
"real estate NJ	0",,,,,,,
"sarasota herald tribune	0",,,,,,,
"saratoga springs figure skating club home page	0",,,,,,,
"sargento.com	0",,,,,,,
"satureday night live	0",,,,,,,
"savannh ga	0",,,,,,,
"sayers	0",,,,,,,
"sc arts commission	0",,,,,,,
"soups for weight loss	0",,,,,,,
"south carolina state department of education	0",,,,,,,
"south county mental health	0",,,,,,,
"south indian railway map	0",,,,,,,
"southeastern credit union	0",,,,,,,
"southern hills medical center	0",,,,,,,
"super street motorcycles	0",,,,,,,
"superbowl sunday?	0",,,,,,,
"superhry cz	0",,,,,,
"superior motors	0",,,,,,,
"supporta Java oppure	0",,,,,,,
"supreme ventures jamaica lottery results	0",,,,,,,
